name,position,company,description,session_title,date,time,location,company_type,company_size,company_hq_address,company_hq_country,company_international
Jaume Miquel Naudi,"Chairman & CEO,",Tendam,"In March 2016 he took additional responsibilities as General Manager of Cortefiel and Pedro del Hierro brands in order to effectively reposition both brands and recover a path of growth. By September 2016 he was promoted to Chief Executive Officer for the whole Group, from this position he has been successfully leading the group transformation and fast growth. By June 2019 he took additional responsibility as Chairman of the Group.",Future of Physical Retailing,13 May 2025,17:00 - 17:30,Main Stage,Retail,"Approximately 8,000 employees","Avenida del Llano Castellano, 51, 28034 Madrid, Spain",Spain,Yes
Jennifer Woo,"Chairman & CEO,",The Lane Crawford Joyce Group,"As President of Lane Crawford from 2003 to 2010, Ms Woo and her team implemented some of the most fundamental changes in the company’s history, successfully repositioning the department store model to a specialty business with the largest selection of international designer fashion in the region. Lane Crawford has since become a benchmark for innovation in retail concepts and creative. In 2011, Lane Crawford became China’s first omni-channel designer fashion retailer with the launch of its e-commerce business.","Winning ways of delivering experience, service and building loyalty",13 May 2025,14:40 - 15:20,Track 3,Retail,1000-5000 employees,"One Island South, 2 Heung Yip Road, Wong Chuk Hang, Hong Kong",Hong Kong,Yes
Jill Orr,"Managing Director, Enterprise EMEA,",Criteo,"Jill Orr is Managing Director, Enterprise EMEA at Criteo, where she leads the company’s commerce media and retail media strategy across Europe, the Middle East, and Africa. With over 25 years of experience in media, retail, and technology, she helps brands, retailers, and publishers unlock the full potential of data-driven advertising and digital innovation.",Creating special discovery moments for customers,14 May 2025,11:30 - 12:10,Track 2,Technology,2600 employees,"32 Rue Blanche, 75009 Paris, France",France,Yes
John Hadden,"CEO,",Alshaya,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",How to unlock the potential for international growth,14 May 2025,14:00 - 14:40,Track 3,Retail,"Over 53,000 employees","Alshaya Group, Office 1, Levels 3 & 4, Burj Alshaya, Al Soor Street, Al Mirqab, Kuwait City",Kuwait,Yes
John McLoughlin,"Executive Vice Chair,",Advantage Group International,John McLoughlin currently serves as Vice Chair of the Board of Directors of Advantage Group International (AGI). Advantage Group is the leading research benchmarking and advisory business focused on creating more productive working relationships with retailers and their suppliers. John is a trusted advisor to Advantage clients with a distinguished career spanning over 30 years working with blue-chip consumer goods manufacturers and retailers. John is passionate about helping clients achieve mutually successful commercial outcomes with their supplier partners and believes wholeheartedly in a philosophy of pragmatic collaboration between retailers and suppliers.,How to unlock growth through better supplier partnerships,14 May 2025,12:10 - 12:30,Track 3,"Research, Benchmarking, and Advisory",51-200 employees,Not available,Canada,Yes
John Ryan,"Managing Director,",Newstores,"John is, among other things, European editor of VMSD, a contributor to Retail Week and Stores + Shops in Germany. On the consultancy side, his clients range from Deloitte to Carpetright, Marks & Spencer to Sainsbury’s.",The Top 10 Store Designs Delivering Great Customer Experience 14-May-2025 15:00 – 15:20 Track 3 Download: The Art and the Science of Store Design: Today’s Winning New Concepts,14 May 2025,08:00 - 09:00,Track 3,Not available,Not available,Not available,Not available,Not available
John Scott,"Founder & CEO,",Liminal Retail,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",How to unlock the potential for international growth,14 May 2025,14:00 - 14:40,Track 3,Not available,Not available,Not available,Not available,Not available
Jonathan Poma,"Director, Go-to-Market Initiatives ,",Shopify,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Change Agents: Are you ready for the future of shopping? Why retailers and CPG businesses need to prepare now for agentic AI,13 May 2025,07:45 - 08:45,Serpentine Room,Technology,"10,000+ employees","150 Elgin Street, 8th Floor, Ottawa, ON K2P 1L4, Canada",Canada,Yes
Juan Carlos Escribano,"CEO,",El Palacio de Hierro,"As El Palacio de Hierro’s CEO, Juan Carlos directly leads a team of 10,600+ staff members; from 2015 (1 billion USD) – 2024 (3.2 billion USD), CAGR by +11.1% Revenues, +17.1% EBITDA and +18.3% Net Profit, and earning the company a stable outlook rating granted by a local AAA rating agency for five consecutive years. Intently focused on maintaining a client-centric approach to business, the development of omnichannel and diversification complement his vision along with making each of the company’s doors unique and community-minded as an homage to each location’s identity; in 2024 El Palacio de Hierro was positioned as the second best store worlwide over Selfridges and Bloomindale’s, this recognition was obtained considering the creation of immersive, luxurious experiences.","Winning ways of delivering experience, service and building loyalty",13 May 2025,14:40 - 15:20,Track 3,Retail,"10,600+ employees","Durango 230, Roma, Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",Mexico,No
Judith McKenna,"Non-Executive Director,","Unilever, Delta","Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",how to learn from challenger brands and to adopt a different way of connecting with customers,14 May 2025,14:25 - 14:45,Track 3,Consumer Goods,"148,000 employees","Unilever House, 100 Victoria Embankment, London EC4Y 0DY, United Kingdom",United Kingdom,Yes
Karin Karay,"Consultant, Global Retail Practice,",Spencer Stuart,"Karin Karay leads the Retail practice in Brazil and Private Equity in Latin America, having conducted C-level positions in these markets, including CEO and Board Member positions of various companies. She brings over 25 years of experience in the field, with experience in both the New York and Brazil offices. Karin has a strong commitment to diversity-related issues.","Frederico Trajano, CEO, Magalu",13 May 2025,16:40 - 17:00,Main Stage,Executive Search and Leadership Consulting,Approximately 500 employees,"353 N Clark St, Chicago, IL 60654, United States",United States,Yes
Kate Walsh,"Retail Lead - UK & Europe,",Russell Reynolds Associates,"Her clients span the gamut of the L&H sector: from the world’s largest hotel and cruise companies to international restaurant brands, as well as national pub and coffee businesses. In retail, she works closely with national and international grocers and an exciting portfolio of specialist, lifestyle, and apparel brands. She is experienced working with both listed companies and those backed by private capital.",Why Inclusive Leadership Matters More Than Ever,14 May 2025,11:30 - 12:10,Track 1,Executive Search and Leadership Advisory,500-1000 employees,"277 Park Avenue, 38th Floor, New York, NY 10172, USA",USA,Yes
Ken Murphy,"CEO,",Tesco,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","Ken Murphy, CEO, Tesco",13 May 2025,09:10 - 09:30,Main Stage,Retail,"Over 300,000 employees","Tesco House, Shire Park, Kestrel Way, Welwyn Garden City, AL7 1GA",United Kingdom,Yes
Ken Pilot,"Founder,",Ken Pilot Ventures,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Capturing Customer Love and Loyalty with Innovation 13-May-2025 11:30 – 12:10 Track 1 Debate: How to Build for your Community,13 May 2025,10:30 - 11:00,Track 1,Not available,Not available,Not available,Not available,Not available
Khalifa Bin Braik,"CEO, Asset Management,",Majid Al Futtaim,"Khalifa Bin Braik is the Chief Executive Officer of Majid Al Futtaim Asset Management Business, where he leads a portfolio of 29 shopping malls and 13 Hotels across the Middle East and North Africa. Khalifa has extensive real estate and hospitality leadership experience in various organisations. After starting his career with Dubai Holding, he joined Sharjah Holding, a joint venture between Majid Al Futtaim - Properties and the Government of Sharjah; and moved to Majid Al Futtaim - Properties in 2014. He served as a director in the Shopping Malls business unit and Managing Director, Hotels Business Unit. In that role, Khalifa was responsible for optimizing the operating and financial performance of the entire portfolio of Majid Al Futtaim - Hotels, as well as building robust relationships with our international hotel partners.",Winning Customer Experience from Beyond Retail,14 May 2025,14:00 - 14:40,Track 1,"Conglomerate (Retail, Real Estate, Leisure & Entertainment)","Over 43,000 employees","Majid Al Futtaim Tower 2, Level 3, Dubai, United Arab Emirates",United Arab Emirates,Yes
Koreen Fader,"CEO,",QVC UK,"With a 25 year career in the retail industry, Koreen Fader has held senior leadership roles in both the US and Japan markets, before joining as the CEO of QVC UK in June 2021.  Always seeking opportunities to push the boundaries of retail, Koreen is dedicated to delivering an exceptional experience to  customers and team members, embodying an inspirational and courageous spirit in all she does.",Enhancing Experiences for Underserved Customers,13 May 2025,12:30 - 12:50,Track 1,Retail,501-1000 employees,"Building 8, Chiswick Park, 566 Chiswick High Road, London W4 5XU, United Kingdom",United Kingdom,Yes
Kristina Blahnik,"CEO,",Manolo Blahnik,"Kristina’s unique background as a chartered architect gives her a refined eye for design, blending precision with creativity. Her architectural expertise was pivotal in the early days of the brand’s evolution, having worked on the design for Manolo Blahnik’s first exhibition at the Design Museum in 2003. Today, she continues to work closely with her uncle, Manolo Blahnik, on every collection, ensuring that each design reflects the brand’s rich history and commitment to craftsmanship. One of her proudest achievements is the launch of the Manolo Blahnik Archives in 2021, a virtual platform celebrating the brand’s 50th anniversary. The Archives has attracted over a million unique visitors and won multiple awards for its innovative approach to digital storytelling, offering fans worldwide an intimate look into the history of the brand and the artistry behind its creations.",Luxury,14 May 2025,17:00 - 17:30,Main Stage,Fashion,51-200 employees,"49-51 Old Church Street, London SW3 5BS, United Kingdom",United Kingdom,Yes
Kulvinder Hari,"Head of Technology, Retail,",Salesforce,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Shaping the Retail Industry Through the Future of the Consumer,14 May 2025,09:50 - 10:20,Main Stage,Technology,"73,541 employees","Salesforce Tower, 415 Mission Street, San Francisco, CA 94105, United States",United States,Yes
Laura Youngson,"Co-Founder and CEO ,",IDA Sports,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",How to Build for your Community,13 May 2025,11:30 - 12:10,Track 1,Sportswear,1-10 employees,Not available,Australia,No
Laure Le Gall,"Chief Revenue Officer EMEA,",Mirakl,"Laure Le Gall is Chief Revenue Officer for EMEA, coordinating the Sales and Marketing teams. She was one of the first employees to join Mirakl, after 9 years with IBM and an early career in consulting with PricewaterhouseCoopers. Since 2013, Laure Le Gall has contributed to the structuring of the sales teams, Mirakl's growth and its international expansion.","The Engine Behind eCommerce Growth - Extending your Assortment Online, Profitably",14 May 2025,12:50 - 13:50,Not available,Technology,800+ employees,"83 Avenue de la Grande Armée, 75116 Paris, France",France,Yes
Leonie Foster,"COO,",Selfridges,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","Winning ways of delivering experience, service and building loyalty",13 May 2025,14:40 - 15:20,Track 3,Retail,"Approximately 2,000 employees","400 Oxford Street, London, W1A 1AB, United Kingdom",United Kingdom,Yes
Lynne Walker,"Director Primark Cares,",Primark,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Winning with the circular economy – and building better businesses,14 May 2025,12:20 - 13:00,Track 2,Retail,"More than 70,000 employees","Arthur Ryan House, 22-24 Parnell Street, Dublin 1, Ireland",Ireland,Yes
Malin Andrée,"Global, EMEIA and Nordics Retail Leader,",EY,"Malin has extensive experience leading a variety of transformation projects, encompassing everything from establishing new strategies and defining new business models, to managing the implementation of major digitalization initiatives, organizational changes and streamlining of processes. Malin has also led global change programs, working at the EY organization’s offices in New York and Dubai.",Adapting the Retail Model for a New Growth Path,14 May 2025,15:50 - 16:20,Main Stage,Professional services,"Over 365,000 employees","6 More London Place, London SE1 2DA, United Kingdom",United Kingdom,Yes
Marcella Wartenbergh,"CEO,",AWWG,"As part of Marcella’s many years of experience in the fashion industry, it is important to highlight her extensive experience at leading apparel company PVH Corp. where she held various senior management positions such as Chief Merchandising & Global Licensing Officer for Calvin Klein, President of PVH Europe and Country Manager of PVH Mexico. Marcella also held global senior management positions for the Tommy Hilfiger brand.
Marcella strongly believes that every business should foster an inspiring culture based on collaboration, flexibility, and inclusivity.",Growth Drivers: Where is global retail growth coming from?,13 May 2025,09:50 - 10:20,Main Stage,Fashion,Not available,Not available,Not available,Not available
Mariëlle Slenders,"Head of Media & Retail Media,",A.S. Watson Benelux,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Don’t Leave Money on the Table: Turn your Commerce Business into a Retail Media Profit Engine,13 May 2025,12:10 - 12:50,Track 2,Retail,Not available,Not available,Netherlands,Yes
Marisa Gardini,"Managing Partner and CEO,",Prosper Brands,"Before founding Prosper Brands, Marisa launched BCL-ED, LLC, a successful fashion and retail partnership with Ellen DeGeneres and Michael Francis, which has generated over $500 million in cumulative sales to date. Her tenure as Managing Partner and CEO of Isaac Mizrahi was marked by groundbreaking achievements, including the launch of one of the largest brands on QVC and the iconic Isaac Mizrahi for Target collection—pioneering designer collaborations with major retailers. Marisa also played a pivotal role in the relaunch of Liz Claiborne as Creative Director, revitalizing the brand for mid-tier and international retail markets.",Luxury,14 May 2025,17:00 - 17:30,Main Stage,Not available,Not available,Not available,Not available,Not available
Mark Conway,"COO, Kuwait, Oman, Bahrain & Kuwait,",Landmark Retail,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",International Expansion in a Changing World,13 May 2025,14:40 - 15:40,40 Crystal Palace Suite,Retail,"55,000 employees","Oasis Centre, Al Quoz, Dubai, United Arab Emirates",United Arab Emirates,Yes
Mark W. Baum,"Chief Collaboration & Commercial Officer & SVP, Industry Relations,",FMI - The Food Industry Association,"Mark Baum serves on the Board of Directors of KeyImpact Sales & Systems, a national foodservice broker in the United States. He is an Industry Venture Partner (IVP) with Loft Growth Partners, a private-equity firm, providing growth capital and industry expertise to emerging branded consumer products businesses. To promote diversity initiatives, Baum is a Founding Champion of the NextUp, a CPG/Retail industry organization dedicated to providing career opportunities for women and minorities. Baum also is a Director on the Board of Oswego State University (NY), his alma mater.",Winning with the circular economy – and building better businesses,14 May 2025,12:10 - 12:50,Track 1,Non-profit organization,51-200 employees,"2345 Crystal Drive, Suite 800, Arlington, VA 22202, United States",United States,No
Matthew Shay,"President & CEO,",National Retail Federation (NRF),"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Not available,12th - 14th May 2025,Not available,Not available,Retail,51-200 employees,"1101 New York Ave NW, Washington, DC 20005, United States",United States,No
Meimei Ding,"Founder,",DFO International,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",How to unlock the potential for international growth,14 May 2025,14:00 - 14:40,Track 3,Retail,Not available,Not available,Not available,Not available
Michael Roth,"SVP International,",Fabletics,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",International Expansion in a Changing World,13 May 2025,14:40 - 15:40,40 Crystal Palace Suite,Retail,500-1000 employees,"800 Apollo St, El Segundo, CA 90245, United States",United States,Yes
Michelle Lau,"Managing Director, France,",Alibaba.com,"She joined Alibaba Group in 2016 as Senior Business Development Manager and in 2020, took on a key role in the Senior Strategic Partnership team, overseeing key strategic accounts for various digital solutions. Since 2022 - and until the restructuring of the Group in 2023 - she held the position of co-Managing Director, Alibaba Group before taking over as MD for Alibaba.com in France.",Leading the AI Revolution,13 May 2025,16:10 - 16:40,Main Stage,Technology,"Over 100,000 employees","969 West Wen Yi Road, Yu Hang District, Hangzhou, Zhejiang, China",China,Yes
Nadine Graf,"President, EMEA, UK&I and Emerging Markets,","The Estée Lauder Companies, Inc.","Nadine Graf is President, EMEA, UK & Ireland, and Emerging Markets. In this expanded role for her, she oversees the Company’s strategic growth and transformation across Europe, the Middle East, Africa, India, and emerging markets in Southeast Asia, focused on driving market expansion, omnichannel acceleration, and operational excellence across 100+ markets. The evolution of the geographic scope was designed to help the Company unlock greater synergies, enhance operational efficiencies, and accelerate locally relevant innovation in high-growth markets poised for long-term success.",Shaping the Retail Industry Through the Future of the Consumer,14 May 2025,09:50 - 10:20,Main Stage,Cosmetics,"Over 60,000 employees","767 Fifth Avenue, New York, NY 10153, USA",United States,Yes
Oliver Vernon-Harcourt,"Partner | UK Retail Leader,",Deloitte,"Ol leads Deloitte’s Retail practice in the UK across the firm’s services of Audit & Assurance, Consulting, Financial Advisory, Risk Advisory and Tax & Legal. Prior to this, he led Deloitte’s Retail Consulting practice, working with both business and technology leadership to design and deliver strategic change to embrace digital, enable growth and improve efficiency. Ol is also one the firm’s leaders in retail eminence, from Retail Trends and the Deloitte Consumer Tracker to providing insight on profitability, connected supply chain and innovation in retail. He is passionate about retail and has worked across fashion, department stores, supermarkets, DIY and electrical sectors for over 20 years.",Shaping the Retail Industry Through the Future of the Consumer,14 May 2025,09:50 - 10:20,Main Stage,Professional Services,"Over 415,000 employees","30 Rockefeller Plaza, New York, NY 10112, United States",United States,Yes
Pallak Seth,"Executive Vice Chairman,",PDS Ltd.,"Pallak Seth is a serial entrepreneur and the Founder of PDS. With over 20 years of experience in fashion manufacturing, sourcing, and the investment ecosystem, he is passionate about innovation, sustainability, technology, and entrepreneurship.",Overcoming Sourcing and Supply Chain Challenges in a Volatile World,14 May 2025,14:40 - 15:20,Track 2,Fashion Manufacturing and Sourcing,Not available,Not available,India,Yes
Pareiya Gupta,"Head of Product and Strategy for gStore,",GreyOrange,"Pareiya Gupta is the Head of Product & Strategy for gStore at GreyOrange, where she leads the Go-to-Market strategy and product vision for the company’s in-store automation solution. With over a decade of experience in product management and more than seven years at GreyOrange, Pareiya has successfully taken multiple products from concept to scale - focusing on innovation, usability, and business impact. She has worked closely with some of the world’s largest retailers to modernize in-store execution, build intelligent inventory systems, and drive omnichannel success.",Where AI Meets the Aisle – Because Every Shopper Deserves a Personal Touch,13 May 2025,12:50 - 13:50,50 Crystal Palace Suite,Technology,1001-5000 employees,"Building 101, Candor TechSpace, Tikri, Sector 48, Gurugram, Haryana 122018, India",India,Yes
Patrick Chalhoub,"Executive Chairman,",Chalhoub Group,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",A Legacy Conversation with Patrick Chalhoub,13 May 2025,15:50 - 16:10,Main Stage,Retail,"12,000 employees","Jebel Ali, Street 22, Dubai, United Arab Emirates",United Arab Emirates,Yes
Patrick Lasfargues,"VP International Partnerships,",Carrefour Group,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",How to unlock the potential for international growth,14 May 2025,12:40 - 13:20,Track 2,Retail,"321,383 employees","33 Avenue Émile Zola, 92100 Boulogne-Billancourt, France",France,Yes
Paul O'Hara,"CPO and Property Director,",Halfords,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Why Inclusive Leadership Matters More Than Ever,14 May 2025,11:30 - 12:10,Track 1,Retail,"Approximately 10,000 employees","Icknield Street Drive, Washford West, Redditch, Worcestershire, B98 0DE, United Kingdom",United Kingdom,No
Paul Wright,"Head of Uber Advertising International,",Uber,"Paul started his career at Sky, where he moved from TV sales into the commercial web. He later co-founded a sports focussed ad network and held a variety of digital roles at Bauer and AOL. He was appointed as the first Chief Digital Officer for OMD Group UK and then Omnicom Media Group UK.",Creating special discovery moments for customers,14 May 2025,11:30 - 12:10,Track 2,Technology,"32,800 employees","1515 3rd Street, San Francisco, CA 94158, United States",United States,Yes
Paula Coughlan,"Chief People, Communications and Sustainability Officer,",Currys,"Before joining Currys, Paula held several leadership roles at McDonald's. Most recently, she was Global Chief People Strategy Officer, where she was responsible for nearly two million colleagues and had a global remit that spanned the business' youth opportunity programme, employer reputation, digital engagement, change management, organisational design and people analytics and insight. Prior to this, Paula was Chief People Officer for Europe and the International Lead Markets. Before her career at McDonald's, Paula held a range of senior people roles at PepsiCo in the UK and Europe.",Winning with the circular economy – and building better businesses,14 May 2025,12:10 - 12:50,Track 1,Retail,"Approximately 36,000 employees","1 Portal Way, London, W3 6RS, United Kingdom",United Kingdom,Yes
Peter Ruis,"Managing Director,",John Lewis Partnership,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Don’t Leave Money on the Table: Turn your Commerce Business into a Retail Media Profit Engine,13 May 2025,12:10 - 12:50,Track 2,Retail,"80,000 employees","171 Victoria Street, London SW1E 5NN, United Kingdom",United Kingdom,No
Rami Baitiéh,"CEO,",Morrisons,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","Rami Baitieh, CEO, Morrisons",14 May 2025,16:20 - 16:40,Main Stage,Retail,"110,000 employees","Hilmore House, Gain Lane, Bradford, BD3 7DL",United Kingdom,No
Regis Schultz,"CEO,",JD Sports,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","Regis Schultz, CEO, JD Sports 13-May-2025 10:20 – 10:40 Main Stage Keynote Interview: Britt Olsen, Chief Commercial Officer, On",13 May 2025,15:10 - 15:30,Main Stage,Retail,"Approximately 60,000 employees","Hollinsbrook Way, Pilsworth, Bury, BL9 8RR, United Kingdom",United Kingdom,Yes
Reid Nakou,"Chief Experience Officer & Head of Design,",The General Store,"With an immense passion for working with both brands and property owners, Reid’s skillset enables an unlocking of value across a multitude of disciplines and sectors - creating innovative experiences for brands, designing the environments they reside within, and establishing an inspiring strategy to stitch it all together. This philosophy, paired with a love of lateral thinking, informs a unique approach to design, one deeply rooted in customer experience, blue sky thinking and world class architectural concepts.",The World's Coolest Retailers 2025,14 May 2025,14:00 - 14:20,Track 3,Not available,Not available,Not available,Not available,Not available
René Van Dijk,"Director, Digital Strategy and Analytics,",ASICS,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",How Retail & Brand Leaders are Building Connected Consumer Experiences with Data and AI,13 May 2025,11:30 - 12:10,Track 2,Sportswear and Equipment,"Approximately 9,000 employees","7-1-1, Minatojima-Nakamachi, Chuo-ku, Kobe, Hyogo 650-8555, Japan",Japan,Yes
Reniera O'Donnell,"Executive Lead,",Ellen MacArthur Foundation,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Winning with the circular economy – and building better businesses,14 May 2025,14:20 - 14:50,Track 1,Non-profit organization,51-200 employees,"The Sail Loft, 42 Medina Road, Cowes, PO31 7BX, United Kingdom",United Kingdom,Yes
Richard Baker,"Executive Chairman,",Saks Global,"Richard A. Baker is an experienced executive and established visionary with a reputation for capitalizing on opportunities that lie at the intersection of retail and real estate. Mr. Baker currently serves as Executive Chairman of Saks Global, the largest multi-brand luxury retailer in the world, comprising Neiman Marcus, Bergdorf Goodman, Saks Fifth Avenue, Saks OFF 5TH and a $7 billion Gross Asset Value portfolio of real estate assets in top markets across the U.S. Mr. Baker led the highly anticipated acquisition of Neiman Marcus Group and established Saks Global. He is an owner of National Realty & Development Corporation (NRDC), one of the largest real estate development companies in the United States. Mr. Baker previously served as the Chairman of the Board of Directors for Retail Opportunity Investments Corporation (ROIC), after he converted the company into the NASDAQ-listed REIT focused on acquiring retail properties on the west coast of the United States. ROIC was acquired by Blackstone Real Estate for $4 billion in 2025.",30 Main Stage The Power Interview,14 May 2025,09:05 - 09:30,Main Stage,Retail,Not available,"225 Liberty Street, New York, NY 10281, USA",United States,Yes
Richard Bayer,"Executive Vice President, Country Manager and Head of Sales, UK,",Clearpay,"Before relocating to London in March 2021 to take up his current role, Rich was based in San Francisco, where he was EVP of Client Success at Afterpay for two years. In that role he built the Client Success team from the ground up and oversaw all of the key retail relationships. He has been with the company for nearly six years.",The Gen Z Consumer - Insights and Buying Habits,14 May 2025,12:50 - 13:50,50 Crystal Palace Suite,Financial Technology,1001-5000 employees,Not available,Australia,Yes
Roisin Currie,"Chief Executive,",Greggs,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",how to learn from challenger brands and to adopt a different way of connecting with customers,14 May 2025,14:00 - 14:40,Track 2,Food Retail,"25,000 employees","Greggs House, Quorum Business Park, Newcastle upon Tyne, NE12 8BU, United Kingdom",United Kingdom,No
Rolf Schumann,"CEO,",Schwarz Digits,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",00 Main Stage Retail in an Uncertain Time,13 May 2025,10:40 - 11:00,Main Stage,Not available,Not available,Not available,Not available,Not available
Romy Miller,"Chief Marketing Officer,",Knoops,"Romy joined Knoops in 2024 to realise the ambition of creating a new category: doing for chocolate drinks what has been done for barista coffee. Before Knoops, Romy was Global Brand Director at KellyDeli, an artisan sushi concept with 1,200 retail locations and DTC e-commerce across the UK, Europe, LatAm and Dubai. From 2013-2021, Romy was Marketing & Commercial Director at GAIL’s Bakery, known for crafting category-defining brand love.",Growing Disruptive Retail Brands,13 May 2025,14:00 - 14:40,Track 1,Food & Beverage,11-50 employees,Not available,United Kingdom,No
Roy Horgan,"CEO UK & Ireland & SEVP Strategy, Marketing & Communications,",VusionGroup,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.","AI-Driven, People-Powered, Store-Centric",14 May 2025,12:10 - 12:50,Track 2,Not available,Not available,Not available,Not available,Not available
Sandra Stanley,"Chief Data Science Officer,",dunnhumby,"Sandra Stanley, Chief Data Science Officer at dunnhumby, leads innovation in AI and data science to drive customer-first retail solutions. With over 25 years’ experience in data science and AI, she specialises in turning data into tangible value for retailers. A recognised industry leader, she was DataIQ Global Data and Analytics Leader of the Year in 2023, and recently took home the 2025 Everywoman in Technology Leader Award.",AI’s real-world impact on retail,13 May 2025,15:00 - 15:20,Track 2,Customer Data Science,2000+ employees,"184 Shepherds Bush Road, London W6 7NL, United Kingdom",United Kingdom,Yes
Scott Price,"Group Chief Executive,",DFI Retail Group,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Growth Drivers: Where is global retail growth coming from?,13 May 2025,17:20 - 17:40,Main Stage,Retail,"Approximately 230,000 employees","21st Floor, Devon House, Taikoo Place, 979 King's Road, Quarry Bay",Hong Kong,Yes
Sean Biddick,"Managing Director and Partner,",BCG,"Since 2007, World Retail Congress has been the premier platform for in-depth research, content and events; driving retail growth and inspiring valuable global connections.",Tech-Enabled Teams,13 May 2025,11:30 - 12:30,Track 3,Management Consulting,"25,000+ employees","Exchange Place, 31 St James Ave, Boston, MA 02116, USA",United States,Yes
Selvane Mohandas du Ménil,"Managing Director ,",International Association of Department Stores,"His extensive experience in business development combined with his current position, where he is exchanging on a regular basis with the CEOs of the top department stores in the world, allow him to have an expert understanding of retail and most specifically of the trends, challenges and solutions, in the exciting world of department stores.","Winning ways of delivering experience, service and building loyalty",13 May 2025,11:00 - 11:30,Track 3,Retail Association,Not available,Not available,Not available,Yes
Sharmila Murat,"Director,",Agthia Group,"Previously, Sharmila spent nearly fourteen years with the Chalhoub Group, where she led multiple luxury, fashion, and beauty businesses, drove digital transformation, and launched new brands and concepts. In her last role, she served as Chief Investment Officer and represented the group as a director on several company boards.",International Expansion in a Changing World,13 May 2025,14:40 - 15:40,40 Crystal Palace Suite,Food & Beverage,2000+ employees,"Sky Tower, Al Reem Island, P.O. Box 37725, Abu Dhabi",United Arab Emirates,Yes
Simon Dyer,"Regional Vice President,",Mirakl,"Simon Dyer joined Mirakl five years ago and as RVP EMEA North and VP EMEA Sales Engineering, he plays a critical role in expanding Mirakl's business outside its core geographies and driving business growth by leading a qualified pre-sales function. Simon’s career includes experiences at Siebel, Oracle and Zuora, spanning positions in customer success, consulting, pre-sales and sales. His comprehensive understanding of both pre- and post-sales environments, combined with his experience in shaping sales strategies and building successful teams, makes him a vital asset to Mirakl's continued growth and success.","The Engine Behind eCommerce Growth - Extending your Assortment Online, Profitably",14 May 2025,12:50 - 13:50,Not available,Technology,800+ employees,"40 Avenue de la Grande Armée, 75017 Paris, France",France,Yes
